protocol,connection_time,latency_avg,latency_min,latency_max,latency_mdev,packet_loss,jitter,throughput,file_transfer_time,cpu_usage_h1,mem_usage_h1,cpu_usage_h2,mem_usage_h2
PPTP,3.0842652320861816,63.90000000000001,61.5,69.3,2.302607217916247,0.0,2.310526315789473,,0.14096713066101074,3.2,46.85,3.2,46.85
L2TP,4.792164325714111,66.05000000000001,62.5,76.2,3.91363002850295,0.0,4.2,,0.13595890998840332,4.0,46.67,3.3,46.67
PPTP,3.8433384895324707,68.31,61.5,82.1,6.980322342127188,0.0,9.868421052631579,,0.12655091285705566,4.4,46.7,3.3,46.7
L2TP,4.105404615402222,64.12000000000002,61.4,78.7,3.7421384260874166,0.0,2.026315789473686,,0.1320793628692627,3.3,46.72,3.2,46.72
PPTP,3.9323744773864746,64.76500000000001,61.5,74.2,3.237788597175548,0.0,4.157894736842106,,0.12912702560424805,3.3,46.8,3.5,46.77
L2TP,3.050140380859375,64.365,60.8,72.2,2.8599431812537817,0.0,3.494736842105263,,0.14180302619934082,3.8,46.82,4.4,46.8
PPTP,3.351883888244629,67.19500000000002,61.5,84.0,7.9830116497472305,0.0,7.326315789473687,,0.13127613067626953,2.8,46.82,3.4,46.8
L2TP,4.147959470748901,70.425,60.8,147.0,18.6379686393126,0.0,15.110526315789471,,0.13127398490905762,2.7,46.85,4.9,46.85
PPTP,3.709810256958008,65.34,60.8,76.2,4.240565999958026,0.0,3.4421052631578974,,0.12526154518127441,3.3,46.88,2.7,46.88
L2TP,4.397225618362427,66.97000000000001,61.5,78.6,5.126704594571448,0.0,6.910526315789473,,0.13990330696105957,2.5,46.7,3.5,46.7
PPTP,4.335192680358887,65.11500000000002,60.8,77.1,4.119620734970636,0.0,3.8105263157894727,,0.12625813484191895,4.6,46.72,3.1,46.72
L2TP,3.7208569049835205,67.38,60.9,79.1,4.8059962546801875,0.0,5.563157894736842,,0.13958144187927246,3.0,46.72,3.6,46.72
PPTP,4.71965765953064,65.15,61.8,76.1,3.8493505945808573,0.0,3.531578947368422,,0.13804054260253906,2.5,46.8,2.2,46.77
L2TP,3.636390447616577,65.01500000000001,60.8,82.0,4.388539050754819,0.0,4.121052631578949,,0.12781810760498047,3.2,46.8,3.8,46.82
PPTP,3.0537219047546387,66.14500000000001,61.5,78.2,3.9953066215248114,0.0,3.6631578947368424,,0.13309383392333984,3.0,46.85,3.1,46.85
L2TP,3.1125104427337646,67.75500000000001,61.5,83.9,6.356844736187915,0.0,6.284210526315792,,0.13304448127746582,2.3,46.88,3.9,46.88
PPTP,4.398550987243652,66.97999999999999,60.8,89.8,7.19906938430239,0.0,7.78421052631579,,0.13504505157470703,2.1,46.9,3.0,46.9
L2TP,3.4666872024536133,64.77,62.5,70.8,2.508405868275705,0.0,2.615789473684209,,0.13208794593811035,3.3,46.75,4.3,46.75
PPTP,3.5827443599700928,69.925,60.8,110.0,11.275543224164412,0.0,10.631578947368421,,0.13057661056518555,2.6,46.77,3.0,46.77
L2TP,3.1221272945404053,64.30500000000002,61.8,77.1,3.331287288721884,0.0,3.3526315789473715,,0.12617778778076172,3.0,46.8,3.5,46.8
PPTP,4.678565740585327,65.86500000000001,61.5,84.0,6.0319379141367175,0.0,6.578947368421053,,0.1317141056060791,3.2,46.8,3.5,46.8
L2TP,4.507514715194702,65.08500000000001,60.8,74.2,3.4411153715038396,0.0,2.9210526315789487,,0.15384292602539062,3.6,46.85,3.2,46.85
PPTP,4.628244161605835,67.43500000000002,61.8,76.2,4.417270084565805,0.0,5.905263157894734,,0.12520647048950195,2.6,46.9,3.8,46.9
L2TP,3.958172082901001,66.24000000000001,61.4,82.0,4.944633454564656,0.0,4.605263157894739,,0.12717223167419434,2.6,46.95,2.5,46.95
PPTP,3.217803955078125,65.89999999999999,61.5,85.9,5.953486373546177,0.0,4.205263157894739,,0.12827181816101074,2.5,46.95,3.3,46.95
L2TP,4.767845392227173,64.74999999999999,61.7,77.1,3.4311076928595514,0.0,3.021052631578948,,0.212158203125,3.1,46.98,3.0,46.98
PPTP,3.07387638092041,66.29,60.9,82.0,5.864119712284188,0.0,5.678947368421052,,0.1314079761505127,3.1,46.8,3.0,46.8
L2TP,4.743826866149902,65.925,61.4,76.1,4.1812528026896425,0.0,4.957894736842106,,0.12719082832336426,3.2,46.85,2.3,46.85
PPTP,3.9427547454833984,67.33500000000001,60.9,86.8,6.05650683149949,0.0,6.915789473684209,,0.14717984199523926,3.5,46.88,3.3,46.85
L2TP,3.614159345626831,64.975,60.6,77.1,4.865580643664227,0.0,5.336842105263158,,0.12813758850097656,3.9,47.13,3.6,47.13
PPTP,3.3549554347991943,66.38,60.8,83.0,6.287734091069691,0.0,4.589473684210527,,0.14183592796325684,3.8,47.15,2.8,47.18
L2TP,4.116077184677124,67.33500000000001,61.7,91.8,7.052465880810766,0.0,5.915789473684209,,0.12897396087646484,2.9,47.21,3.5,47.21
PPTP,3.8715217113494873,66.92500000000001,60.8,79.1,4.033841221466209,0.0,4.6,,0.12616515159606934,2.7,47.21,3.1,47.23
L2TP,4.572706699371338,65.22500000000001,61.5,78.5,4.214958481408803,0.0,4.5473684210526315,,0.14379668235778809,3.6,47.26,4.1,47.26
PPTP,3.226729393005371,66.05,61.5,74.2,4.145660381652121,0.0,5.010526315789476,,0.1374366283416748,2.1,47.05,3.1,47.05
L2TP,3.3294777870178223,66.995,62.4,83.0,5.508854236590401,0.0,6.831578947368421,,0.1304614543914795,4.6,47.05,2.5,47.05
PPTP,3.4564123153686523,66.11500000000001,60.8,77.7,4.5932858609061125,0.0,5.9263157894736835,,0.13112878799438477,3.0,47.13,3.0,47.1
L2TP,3.544551134109497,66.43999999999998,61.7,91.8,7.184107460220788,0.0,6.5894736842105255,,0.1457536220550537,3.8,47.13,3.3,47.13
PPTP,4.0786497592926025,67.14000000000001,61.5,82.0,6.153486816431802,0.0,6.089473684210526,,0.13498997688293457,3.2,47.15,2.8,47.15
L2TP,3.1344239711761475,65.76000000000002,61.4,82.0,5.941413973121214,0.0,5.426315789473684,,0.12816834449768066,4.1,47.21,3.4,47.18
PPTP,4.360492944717407,67.265,60.8,92.8,6.754056188691355,0.0,6.026315789473683,,0.15482521057128906,3.9,47.21,2.9,47.23
L2TP,4.148096084594727,63.63000000000001,61.0,69.3,1.9313466804279347,0.0,2.2473684210526326,,0.1497023105621338,3.3,47.23,2.8,47.26
PPTP,4.664161443710327,64.36500000000001,61.5,73.1,2.765189866898835,0.0,2.526315789473684,,0.13748764991760254,3.5,47.1,3.6,47.1
L2TP,4.450967788696289,67.995,61.5,93.7,7.675381098030247,0.0,8.915789473684208,,0.13874530792236328,2.8,47.1,2.2,47.1
